Tanggal,Aktual,Prediksi,Kualitas Udara Aktual,Kualitas Udara Prediksi
2025-03-25,6.0378622000000005e-05,5.883289875185185e-05,Tinggi,Tinggi
2025-03-26,6.019268e-05,5.976218917089947e-05,Tinggi,Tinggi
2025-03-27,5.3300486e-05,5.9657803615343915e-05,Sedang,Tinggi
2025-03-28,4.78807838e-05,5.769314454790764e-05,Sedang,Tinggi
2025-03-29,4.24610816e-05,4.7853737582615655e-05,Sedang,Sedang
2025-03-30,3.7041379399999996e-05,3.964971476634921e-05,Sedang,Sedang
2025-03-31,3.16216772e-05,3.279469818809524e-05,Rendah,Rendah
2025-04-01,2.6201975e-05,2.9840133745858588e-05,Rendah,Rendah
2025-04-02,2.8269154166666666e-05,2.7270437380365356e-05,Rendah,Rendah
2025-04-03,3.033633333333333e-05,3.273480754385965e-05,Rendah,Rendah
2025-04-04,3.24035125e-05,3.189190955927318e-05,Rendah,Rendah
2025-04-05,3.4470691666666663e-05,2.9623214132322473e-05,Rendah,Rendah
2025-04-06,3.6537870833333334e-05,3.594139602373154e-05,Sedang,Sedang
2025-04-07,3.860505e-05,4.196875378382344e-05,Sedang,Sedang
2025-04-08,3.8533325466666664e-05,3.951248710984127e-05,Sedang,Sedang
2025-04-09,3.846160093333333e-05,3.9797863041957675e-05,Sedang,Sedang
2025-04-10,3.83898764e-05,3.946038288492063e-05,Sedang,Sedang
2025-04-11,3.8318151866666664e-05,3.946038288492063e-05,Sedang,Sedang
2025-04-12,3.824642733333333e-05,3.8061415051587304e-05,Sedang,Sedang
2025-04-13,3.81747028e-05,3.8061415051587304e-05,Sedang,Sedang
2025-04-14,3.8102978266666664e-05,3.8061415051587304e-05,Sedang,Sedang
2025-04-15,3.803125373333333e-05,3.8068638101587305e-05,Sedang,Sedang
2025-04-16,3.79595292e-05,3.80784087415873e-05,Sedang,Sedang
2025-04-17,3.7887804666666664e-05,3.755802166380952e-05,Sedang,Sedang
2025-04-18,3.781608013333333e-05,3.7494124920952384e-05,Sedang,Sedang
2025-04-19,3.77443556e-05,3.73611381357672e-05,Sedang,Sedang
2025-04-20,3.7672631066666664e-05,3.73611381357672e-05,Sedang,Sedang
2025-04-21,3.760090653333333e-05,3.73611381357672e-05,Sedang,Sedang
2025-04-22,3.7529182e-05,3.732400826910053e-05,Sedang,Sedang
2025-04-23,9.9546141e-05,3.732400826910053e-05,Tinggi,Sedang
2025-04-24,0.0001615631,7.684704089e-05,Tinggi,Tinggi
2025-04-25,0.00010699788000000001,9.066292158444443e-05,Tinggi,Tinggi
2025-04-26,5.243266e-05,9.751363354555554e-05,Sedang,Tinggi
2025-04-27,7.4602576e-05,5.875021239323231e-05,Tinggi,Tinggi
2025-04-28,4.6807152e-05,6.778269465529101e-05,Sedang,Tinggi
2025-04-29,5.9322105e-05,4.9510651106734e-05,Tinggi,Sedang
2025-04-30,3.605016e-05,6.005082842181606e-05,Sedang,Tinggi
2025-05-01,6.540614e-05,3.922415799897547e-05,Tinggi,Sedang
2025-05-02,5.0443668175e-05,6.20951195968254e-05,Sedang,Tinggi
2025-05-03,3.548119635e-05,5.0722610310606055e-05,Sedang,Sedang
2025-05-04,2.0518724525000002e-05,3.3704636756224145e-05,Sangat Rendah,Rendah
2025-05-05,5.556252699999996e-06,2.9130589599052222e-05,Sangat Rendah,Rendah
2025-05-06,4.474487929999998e-06,3.138796007304053e-05,Sangat Rendah,Rendah
2025-05-07,3.392723159999999e-06,1.860394702491105e-05,Sangat Rendah,Sangat Rendah
2025-05-08,2.7666432049e-06,1.860394702491105e-05,Sangat Rendah,Sangat Rendah
2025-05-09,2.7666432049e-06,1.860394702491105e-05,Sangat Rendah,Sangat Rendah
2025-05-10,2.7666432049e-06,1.860394702491105e-05,Sangat Rendah,Sangat Rendah
2025-05-11,5.170001e-05,1.860394702491105e-05,Sedang,Sangat Rendah
2025-05-12,4.899070166666667e-05,3.255553104e-05,Sedang,Rendah
2025-05-13,4.628139333333333e-05,4.755807739583185e-05,Sedang,Sedang
